DrugID,CUI,name,AvgFrequency,StandardDeviation
DB00694,C0004093,Asthenia,25,21
DB00222,C0541900,Disulfiram_like_reaction,0,0
DB01129,C2225524,Breast_enlargement,0,0
DB00246,C0003811,Arrhythmia,0,0
DB00615,C0948594,Musculoskeletal_discomfort,2,1
DB01367,C0029408,Osteoarthritis,0,0
DB00997,C0036980,Cardiogenic_shock,0,0
DB02638,C0032961,Pregnancy,0,0
DB04896,C0001807,Aggression,0,0
DB04855,C0000737,Abdominal_pain,4,1
DB00674,C0020538,Hypertension,18,25
DB00531,C0392699,Dysaesthesia,0,0
DB00193,C0853946,Pain_worsened,3,0
DB00252,C0031350,Pharyngitis,1,0
DB06716,C0042373,Angiopathy,4,2
DB01197,C0032961,Pregnancy,0,0
DB01592,C0151907,Skin_discolouration,0,0
DB00564,C0853711,Sperm_count_decreased,0,0
DB01204,C0333355,Mucosal_inflammation,22,10
DB00649,C0085633,Mood_swings,1,0
DB01175,C0005959,Marrow_hyperplasia,0,0
DB08889,C0013404,Dyspnoea,13,17
DB00246,C0162298,Joint_stiffness,1,0
DB00989,C0162429,Malnutrition,0,0
DB08893,C0039231,Tachycardia,1,0
DB00843,C0017601,Glaucoma,1,0
DB05488,C0162830,Photosensitivity_reaction,0,0
DB00310,C0003811,Arrhythmia,0,0
DB00213,C0017178,Gastrointestinal_disorder,0,0
DB00558,C0019080,Haemorrhage,0,0
DB08815,C0428977,Bradycardia,1,0
DB00294,C0085633,Mood_swings,4,2
DB00402,C0027932,Neurosis,1,0
DB00480,C0027424,Nasal_congestion,50,0
DB01111,C0700184,Throat_irritation,39,6
DB00665,C0027769,Nervousness,2,0
DB00992,C0005758,Blister,8,11
DB00264,C0314719,Dry_eye,0,0
DB01204,C0853761,Blood_potassium_decreased,5,7
DB00975,C0424790,Rigors,0,0
DB05488,C0151905,Alanine_aminotransferase_increased,0,0
DB00909,C0028738,Nystagmus,3,1
DB00472,C0002884,Hypochromic_anaemia,0,0
DB00334,C0011168,Dysphagia,1,0
DB08889,C0030193,Pain,5,6
DB07600,C0035309,Retinal_disorder,0,0
DB01204,C0010200,Cough,8,4
DB01058,C0151859,Polyserositis,0,0
DB00555,C0005741,Blepharitis,0,1
DB00598,C0026821,Cramp_muscle,1,0
DB00783,C0037763,Muscle_spasms,0,0
DB01073,C0019079,Haemoptysis,3,3
DB00997,C0151908,Dry_skin,6,0
DB00882,C0040046,Thrombophlebitis,0,0
DB01222,C0015230,Rash,3,2
DB00811,C0850149,Dry_cough,50,0
DB01222,C0232492,Abdominal_pain_upper,3,1
DB00363,C0151205,Periorbital_oedema,0,0
DB00983,C0033774,Pruritus,1,1
DB00656,C0233571,Excitement,3,2
DB00402,C0009319,Colitis,0,0
DB05373,C0022660,Renal_failure_acute,0,0
DB00268,C0040485,Torticollis,26,29
DB00215,C0013428,Dysuria,0,0
DB00346,C0267792,Hepatobiliary_disease,0,0
DB01236,C0086565,Hepatic_function_abnormal,0,0
DB08477,C0025323,Menorrhagia,0,0
DB01204,C0031350,Pharyngitis,12,8
DB00480,C0023467,Acute_myeloid_leukaemia,0,0
DB00222,C0018681,Headache,6,4
DB00882,C0152021,Heart_disease_congenital,0,0
DB01413,C0150450,Altered_state_of_consciousness,0,0
DB08625,C0242429,Throat_sore,0,0
DB07554,C0017565,Gingival_bleeding,50,0
DB00843,C0018772,Partial_hearing_loss,1,0
